STT,Block Type,Block,Type,Layer Name,In Channels,Out Channels,Resolution (HxW),OFM,OFM_SIZE (byte),OFM_TYPE,IFM,IFM_SIZE (byte),IFM_TYPE,Weight Shape,Weight Params,Weight Size (Byte),kernel,padding,stride,Weight Storage DType,Weight Notes
404,Hyperprior,Add_3_output_0_cast_to_,Cast,/Hyperprior/Add_3_output_0_cast_to_/Generator/conv_block_init/conv_block_init.0/Shape,220,220,16x16,"[1, 220, 16, 16]",112640,float16,"[1, 220, 16, 16]",112640,float16,N/A,0,0,,,,N/A,
405,Generator,conv_block_init,Shape,/Generator/conv_block_init/conv_block_init.0/Shape,220,N/A,16x16,[4],32,int64,"[1, 220, 16, 16]",112640,float16,N/A,0,0,,,,N/A,
406,,,Gather,/Generator/conv_block_init/conv_block_init.0/Gather,N/A,N/A,N/A,[1],8,int64,[4],32,int64,N/A,0,0,,,,N/A,
407,,,ReduceProd,/Generator/conv_block_init/conv_block_init.0/ReduceProd,N/A,N/A,N/A,[],8,int64,[1],8,int64,N/A,0,0,,,,N/A,
408,,,Cast,/Generator/conv_block_init/conv_block_init.0/Cast,N/A,N/A,N/A,[],2,float16,[],8,int64,N/A,0,0,,,,N/A,
409,,,Sub,/Generator/conv_block_init/conv_block_init.0/Sub_1,N/A,N/A,N/A,[],2,float16,[],2,float16,N/A,0,0,,,,N/A,
410,Hyperprior,Add_3_output_0_cast_to_,Cast,/Hyperprior/Add_3_output_0_cast_to_/Generator/conv_block_init/conv_block_init.0/Sub,220,220,16x16,"[1, 220, 16, 16]",112640,float16,"[1, 220, 16, 16]",112640,float16,N/A,0,0,,,,N/A,
411,Generator,conv_block_init,Sub,/Generator/conv_block_init/conv_block_init.0/Sub,220,220,16x16,"[1, 220, 16, 16]",112640,float16,"[1, 220, 16, 16]",112640,float16,N/A,0,0,,,,N/A,
412,,,Mul,/Generator/conv_block_init/conv_block_init.0/Mul,220,220,16x16,"[1, 220, 16, 16]",112640,float16,"[1, 220, 16, 16]",112640,float16,N/A,0,0,,,,N/A,
413,,,ReduceMean,/Generator/conv_block_init/conv_block_init.0/ReduceMean_2,220,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 220, 16, 16]",112640,float16,N/A,0,0,,,,N/A,
414,,,Mul,/Generator/conv_block_init/conv_block_init.0/Mul_1,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
415,,,Div,/Generator/conv_block_init/conv_block_init.0/Div,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
416,,,Add,/Generator/conv_block_init/conv_block_init.0/Add,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
417,,,Sqrt,/Generator/conv_block_init/conv_block_init.0/Sqrt,1,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 1, 16, 16]",512,float16,N/A,0,0,,,,N/A,
418,,,Div,/Generator/conv_block_init/conv_block_init.0/Div_1,N/A,1,N/A,"[1, 1, 16, 16]",512,float16,[],2,float16,N/A,0,0,,,,N/A,
419,Hyperprior,Add_3_output_0_cast_to_,Cast,/Hyperprior/Add_3_output_0_cast_to_/Generator/conv_block_init/conv_block_init.0/Sub_2,220,220,16x16,"[1, 220, 16, 16]",112640,float16,"[1, 220, 16, 16]",112640,float16,N/A,0,0,,,,N/A,
420,Generator,conv_block_init,Sub,/Generator/conv_block_init/conv_block_init.0/Sub_2,220,220,16x16,"[1, 220, 16, 16]",112640,float16,"[1, 220, 16, 16]",112640,float16,N/A,0,0,,,,N/A,
421,,,Mul,/Generator/conv_block_init/conv_block_init.0/Mul_2,220,220,16x16,"[1, 220, 16, 16]",112640,float16,"[1, 220, 16, 16]",112640,float16,N/A,0,0,,,,N/A,
422,,,Mul,/Generator/conv_block_init/conv_block_init.0/Mul_3,N/A,220,N/A,"[1, 220, 16, 16]",112640,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
423,,,Add,/Generator/conv_block_init/conv_block_init.0/Add_1,220,220,16x16,"[1, 220, 16, 16]",112640,float16,"[1, 220, 16, 16]",112640,float16,"[1, 220, 1, 1]",220,440,,,,float16,
424,,,Pad,/Generator/conv_block_init/pre_pad/Pad,220,220,16x16,"[1, 220, 18, 18]",142560,float16,"[1, 220, 16, 16]",112640,float16,N/A,0,0,,,,N/A,
425,,,Conv3x3,/Generator/conv_block_init/conv_block_init.2/Conv,220,960,18x18,"[1, 960, 16, 16]",491520,float16,"[1, 220, 18, 18]",142560,float16,"[960, 220, 3, 3]",1900800,3801600,"[3, 3]","[0, 0, 0, 0]","[1, 1]",float16,weight=initializer
426,,,ReduceMean,/Generator/conv_block_init/conv_block_init.3/ReduceMean,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
427,,,ReduceMean,/Generator/conv_block_init/conv_block_init.3/ReduceMean_1,960,1,16x16,"[1, 1, 16, 16]",512,float16,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
428,,,Shape,/Generator/conv_block_init/conv_block_init.3/Shape,960,N/A,16x16,[4],32,int64,"[1, 960, 16, 16]",491520,float16,N/A,0,0,,,,N/A,
429,,,Gather,/Generator/conv_block_init/conv_block_init.3/Gather,N/A,N/A,N/A,[1],8,int64,[4],32,int64,N/A,0,0,,,,N/A,
430,,,ReduceProd,/Generator/conv_block_init/conv_block_init.3/ReduceProd,N/A,N/A,N/A,[],8,int64,[1],8,int64,N/A,0,0,,,,N/A,
